account_id,customer_id,iban,account_type,currency,balance,opening_date,status,branch_code,interest_rate
HSP0000000001,MUS00000001,TR72000600297021355690927,Cari,EUR,64113.74,2019-08-29,Aktif,9406,0.0
HSP0000000002,MUS00000002,TR64001001027868144739473,Vadeli,TRY,267082.64,2023-09-16,Aktif,5566,32.86
HSP0000000003,MUS00000002,TR80001505188442258313237,Vadesiz,USD,71904.45,2023-10-10,Aktif,2438,0.0
HSP0000000004,MUS00000002,TR52006401146786691251778,Vadesiz,TRY,64312.57,2023-12-04,Aktif,3126,0.0
HSP0000000005,MUS00000003,TR85000408242253584143842,Kredi,TRY,-37210.66,2020-10-01,Aktif,1907,2.8
HSP0000000006,MUS00000004,TR47006400010943969078447,Tasarruf,TRY,47385.49,2025-07-02,Aktif,6531,13.08
HSP0000000007,MUS00000004,TR36000607677359255562588,Vadesiz,USD,36338.18,2025-08-26,Aktif,1981,0.0
HSP0000000008,MUS00000005,TR42003209632595327877470,Vadesiz,TRY,11356.12,2022-02-20,Aktif,5754,0.0
HSP0000000009,MUS00000006,TR43006407480162456506098,Vadeli,TRY,293755.34,2024-08-31,Aktif,9108,26.26
HSP0000000010,MUS00000007,TR04000601655852398680002,Vadeli,TRY,383380.04,2021-03-07,Aktif,2946,45.63
HSP0000000011,MUS00000008,TR02006405269495888794705,Yatırım,TRY,894200.38,2024-09-09,Aktif,6373,0.0
HSP0000000012,MUS00000008,TR04006407499309728962309,Vadesiz,TRY,24683.46,2025-06-17,Aktif,1436,0.0
HSP0000000013,MUS00000009,TR03003208970283857865278,Vadesiz,TRY,12199.36,2020-06-08,Aktif,4340,0.0
HSP0000000014,MUS00000009,TR89006407334843443757584,Vadesiz,TRY,57701.87,2020-05-15,Pasif,5331,0.0
HSP0000000015,MUS00000009,TR58000604041574733848421,Vadesiz,TRY,71671.26,2020-01-09,Aktif,6654,0.0
HSP0000000016,MUS00000010,TR38003205712082677345401,Vadeli,TRY,267865.54,2021-12-12,Aktif,2641,30.82
HSP0000000017,MUS00000010,TR93003202067240049915478,Tasarruf,TRY,68041.61,2021-02-08,Aktif,3868,28.26
HSP0000000018,MUS00000011,TR83001202054932966851612,Kredi,TRY,-55294.58,2022-12-23,Aktif,8518,2.49
HSP0000000019,MUS00000011,TR76004604549904530174268,Cari,TRY,1676.18,2023-05-11,Dondurulmuş,4858,0.0
HSP0000000020,MUS00000012,TR49001002727956878339187,Kredi,TRY,-128103.55,2022-05-03,Aktif,4618,2.6
HSP0000000021,MUS00000012,TR42006408225871397187072,Vadeli,TRY,60543.35,2022-09-09,Kapalı,4312,47.57
HSP0000000022,MUS00000012,TR51001200391065180170462,Vadeli,TRY,233877.26,2022-05-09,Aktif,7487,43.08
HSP0000000023,MUS00000013,TR06003206182512868230047,Yatırım,EUR,426158.32,2024-05-13,Aktif,8348,0.0
HSP0000000024,MUS00000013,TR07001203106903311907903,Tasarruf,TRY,65886.5,2024-03-05,Aktif,3541,19.21
HSP0000000025,MUS00000014,TR11001009599534283644089,Vadeli,TRY,432546.47,2024-11-17,Aktif,5739,28.5
HSP0000000026,MUS00000014,TR04003208566246287334270,Kredi,EUR,-86012.92,2025-06-30,Aktif,6642,1.64
HSP0000000027,MUS00000015,TR53000407518304699013983,Cari,TRY,25042.99,2023-01-20,Aktif,6411,0.0
HSP0000000028,MUS00000015,TR30000407393638546785445,Vadeli,USD,478724.78,2022-10-15,Aktif,4113,30.3
HSP0000000029,MUS00000016,TR83001506093204899642353,Vadeli,TRY,237397.76,2021-06-29,Blokeli,7073,47.86
HSP0000000030,MUS00000016,TR94004607252287280801006,Vadeli,USD,329030.94,2022-01-02,Aktif,9005,33.44
HSP0000000031,MUS00000017,TR68004600088600848408621,Tasarruf,TRY,17575.7,2018-12-18,Aktif,8916,17.46
HSP0000000032,MUS00000018,TR75000405679334101666870,Vadeli,TRY,129947.01,2019-01-30,Aktif,7502,31.68
